RachisFW;PetiolFW;RachisLength;PetioleLength;WidthC;ThickC
1469;1919;465;123;5;3
2143;2056;448;125;6;3
1814;2491;472;151;6;3.2
1738;2433;451;133;6;3
1280;1810;405;118;5;3
2881.4;2065.3;516;117;7;3.8
1831.6;3018.6;509;130;7;3.8
2563.1;2848.3;411;132;7;4
2683.2;2881.3;478;125;7;3.9
2480.3;2498.6;516;131;6.7;3.8
2324.2;2848.1;504;130;7;3.7
2416.2;2803.1;430;130;6.8;3.6
2234.4;2615.3;458;148;5.8;3
1750.3;240.4;478;120;6.6;3.4
1872.4;1827.3;488;129;5;3
1669.3;1890.3;457;116;6;3.6
1545.4;1999.3;463;120;6;3.8
1112.6;1629.3;253;102;6;3.1
3893;2768;584;118;7;4
3513;3420;553;131;7;4
3441;3462;545;130;7;4
3213;3846;552;142;7;4
3399;3990;535;150;7.5;4
3059;3617;530;133;7;4
3043;3999;557;139;7;4
3043;4314;565;150;6.5;4
3974;4100;548.4;161;7;4
3199;4371;561;158;7;4
3013;4402;567.2;169;7;4
2995;3951;550;157;7;3.5
2481;3880;520;164;6.5;3.5
1850;4134;471;145;6.5;3.5
2803;1070;490;60;8;4
2930;1290;493;69;7.8;4.1
2899;1573;493;80;7.8;4
2955;2135;520;95;8.1;4.1
2729;2477;505;110;8;4
2814;2988;487;105;8;4
2538;2979;485;117;7.5;3.8
2433;3382;475;128;7.1;4
2065;2960;450;150;7.5;5.1
1935;2601;470;120;7;3.8
2375;2936;456;110;6.5;3.5
2490;3337;492;130;7.1;4
2146;3225;456;130;6.3;3.5
1714;2481;425;115;6.8;3.8
1831.6;605;440;49;6;3.6
2016;1708.6;450;88;7;3.7
1781.6;1826.1;467;82;7;3.8
2006.2;1853.6;447;89;6.8;3.9
2018.6;1938.8;465;84;7;3.8
2218.5;1811.6;475;83;7;3.8
2177.9;2256.6;455;98;7;3.8
2240.5;2616.9;450;95;7.2;4
2316.5;3099.8;459;114.8;7;4.2
2209.8;2990.7;465;116;7;4
1981.6;3006.8;462;116;7;4
2142.5;2679.6;466;114;7;3.8
1652;2205.1;419;98;7;3.8
2771.5;1096.9;513;83;7.1;3.5
2781.5;1629.9;583;102;6.8;3.8
2578;2182.7;480;113;6.7;4
2461.5;2381.8;490;114;7.1;3.9
2278.5;2615.5;504;116;6.8;3.8
2423.4;2010.9;489;110;7;3.8
2358.5;2354.7;485;120;6.8;4
2268.7;2315.1;491;121;6.5;3.8
1978.1;2115.4;480;120;6.1;3.4
2102.7;2733.7;470;134;6.7;3.9
1781.6;2035.5;480;125;6;3.2
2234.2;2510.2;510;129;6.3;3.8
2155.4;2186.7;465;115;5;3
2255.6;2929.1;472;120;6.8;3.8
1791.5;2532.7;460;138;6.8;4.1
2819.6;929.5;463;55;7;4
2890.7;2201.6;510;107;7;4.2
2642;2481.6;511;111;7;4.1
2618.2;2819.2;514;120;7;4
2123.6;2715.5;508;120;6;3.8
2444.8;2216.5;517;102;7;3.4
2382.6;2760;500;126;7;4.1
2290.5;2881.9;500;131;7;3.9
2101.5;2916.4;490;143;6;3.8
1974.6;2641.8;473;128;6;4
2149.5;2198.6;498;166.2;7;4
2416.5;2818.8;510;132;7;4
2615.6;2401.5;501;138;6;3
2247.6;3641.5;483;143.5;7;3.8
1949.6;2878.8;460;139;7;3.8
3201.7;1880;540;104;7;3.8
3016.9;2064.5;548;114;6.8;3.6
1988.6;2241.4;496;116;7;3.6
2916.2;2199.8;545;112;7;3.6
2469;2429.7;530;141;6;3
2467.3;2241.6;561;129;7;3.8
1246.9;2340.8;475;130;6;3.5
2088.5;2367.7;464;123;6;3.5
2009;2328.4;480;130;5.5;3
2249.3;2342.1;490;120;6;3.2
2288;2610.8;498;140.2;5;2.4
2581.4;2660.3;502;126;7;4
2148.3;2318.6;442;118;6.2;3.6
751.6;1757.9;400;109;5.4;3.2
3384;2254;505;98;7.5;3.5
3534;3054;531;114;8;4.3
3079;2915;520;113;7;4
2865;2886;506;148;7;4.5
2723;2736;500;120;8;3.5
2702;3412;492;126;7;4
2542;3145;483;116;7;4
2259;3869;483;117;6.5;3.5
2173;2362;482;106;7.5;4
2269;2393;496;108;6;3.5
2475;2253;511;106;7;3.5
2786;3058;514;118;6;3.8
2430;1272;545;69;6.5;4
2483;2007;545;89;6.5;4
3001;2034;548;98;6.6;4.1
2622;2425;547;108;6.5;3.5
2563;2209;539;108;6.3;4
2627;2664;542;121;6;4
2535;2436;531;123;6;3.8
2180;2425;512;126;6.5;3
1992;2388;509;129;;
2456;2184;520;120;5.5;3
2465;2571;551;138;6;4
2311;2881;529;133;6;3.7
2472;3184;541;134;6;3
1929;2543;465;124;6;4.1
3472.2;1895.2;551;103;7;4.6
3516.2;3016.7;549;129;7;4.2
3516.4;3481.4;544;131;7;4.1
3415.3;3642.2;532;138;7;4
3461.5;3716.2;526;103;7.8;4.2
3318.4;3614.4;515;140;7;3.9
3288.2;3816.2;512;150;7;3.9
3168.2;4016.4;510;144;7;4
2517.2;3516.3;516;126;7;3.8
3460.2;4132.7;543;152;7;4
2916.3;3816.5;546;101;7;4.2
3421.8;4693.2;549;100;7;3.9
2817.3;4321.6;532;120;7.6;4
2816.2;3816.2;466;146;6.8;3.9
1653.6;2691.4;450;130;6;3.5
3316.5;2378.8;562;130;8;4
3576.3;3541.5;558;154;7;3.7
3129.6;3603.9;647;166;7;3.8
3186.2;3612.4;561;162;7;3.8
3062.8;5411.3;508;160;7;3.9
2426.5;2851.6;480;141;7;3.7
2765.3;3270.8;476;151;7;3.7
2471.5;2838.4;510;135;;3.6
2816.3;3142.7;503;144;7;3.8
2636.3;3089.3;530;141;7;3.6
2615.6;3062.9;517;158;7;3.8
2328.6;3841.6;525;170;7;4
1778.6;2968.3;440;153;6;3.2
3584;1682;582;89;7.3;3.5
3536;2593;593;122;7;3.5
2619;2554;603;116;7;4
3224;2847;583;127;6.5;3.5
3443;2896;564;141.3;6.5;3.4
2824;2531;532;117;6;5
2640;2620;528;125;7;3.2
2453;2556;522;117;6.5;3.5
2374;2720;515;128;6;3.5
2822;3035;563;130;6.5;3.3
2699;2939;542;141.3;6.3;3
2901;3315;592;140;7;3.5
2467;3172;531;143.6;7;3
2047;2574;481;129;6.4;3.1
1616;2050;468;115;6;3.2
3147;1842;533;104;6.5;3.5
3073;2723;530;126;6.7;3.4
2846;2631;529;125;7;4
2826;2532;524;105;6.5;3.7
2568;2515;506;127;6.5;3
2504;2831;515;133;6.3;3.1
2508;2748;532;130;6.5;3.6
2380;3159;530;148;6;3.5
2213;2907;517;147.2;6.3;3.5
2048;2995;522;147;5.9;3
1649;2011;476;132.5;6.2;3.1
1619;2087;482;135;5.5;3
1540;1850;477;182.2;5.5;3
1616;2263;453;130;5.5;3
1440;2058;435;114;5.5;3
3352;1169;518;63;7;4.2
3267;1531;519;58;7;4.2
3141;1686;522;90;6.8;4
2920;1782;534;86;7;3.8
2990;1904;543.4;104;7;3.9
3065;3070;532;134;7;4
2886;3043;536;134;7;3.9
2663;3366;534;142;7;4
2471;3305;529;150;7;4
2069;2753;518;140;7;3.9
1823;2328;502;137;7;3.8
2255;2530;502;139;6.2;3.1
1766;2814;465;135;6.2;3.1
1546;2251;462;116;6;3.8
3285.5;702.5;558;40;7;4
3759.4;1398.1;547;72;7;4
3571.1;1759.4;542;85;7;4
